"par.sam","qrunoff_daily","qrunoff_yearly","qet_daily","qet_monthly","qet_yearly","gpp_daily","gpp_yearly","sat10_daily","sat40_daily","sat100_daily","swcplot10_daily","swcplot40_daily","swcplot100_daily","swc10_daily","swc40_daily","swc100_daily","swc.vert_daily"
81,-1.39454456719815,0.312277366803992,-6.40346463098284,-1.71456454708228,-0.238091752131806,-15.687748857134,-0.927002752193699,0.360997825270792,0.207345710214668,0.307128238238714,-0.527108740285348,-13.4103106467791,-26.7218610879355,-1.39169166925384,-1.39141579610322,-11.3100119298691,-2.31890689856918
82,-1.39241191719187,0.378310725362975,-14.7855165219034,-6.42136277505033,-7.00011597269456,-12.9540877246028,-12.2417542076744,-0.0148561207413476,-0.10356976848555,0.00562593040581427,-6.5747722210435,-33.0054481756512,-56.9818241789342,-2.76743861280566,-2.41150418774396,-14.3874148437815,-4.09844534931692
85,-1.36620839531729,0.121127273358426,-24.3071823134668,-12.9929083343715,-16.8081055329922,-46.6656152451429,-56.7119280312764,0.0588560230986057,-0.0450971912388842,0.0361926874110772,-5.07522042309374,-29.0489604899969,-52.8717921774288,-2.54145843776608,-2.27015578447166,-14.1334314056278,-4.01368801119726
86,-1.40309396068433,-0.187706750709249,-6.95332058525451,-1.9884195323831,-0.55635327605432,-8.86861648996574,-1.61549327018493,0.279621963365185,0.138561269154391,0.23340129042826,-1.64048971967855,-18.364802687048,-35.3316317863192,-1.71927410262063,-1.64015687405908,-12.2028969973205,-2.72938848455284
89,-1.47333089366602,0.0207160808860047,-2.03816238118985,-0.554468866139423,0.774891847276885,-8.59926921321816,-0.549135616779195,0.439273512912523,0.251828176379955,0.346924669608147,0.294579357341948,-8.9532819778921,-18.8513249150361,-1.02626507159477,-1.13885570360855,-10.319606336258,-1.75906119906045
90,-1.39494197346391,0.114324521921597,-6.98265355977905,-1.88383626849771,-0.428873512686428,-11.914856069948,-1.16326986608257,0.325753206426704,0.176852436616645,0.277295732208461,-1.05373281979535,-15.9509854257548,-31.3120424804356,-1.54435956533428,-1.50555830177858,-11.7066744684437,-2.50117251324133
93,-1.40340973520395,0.222462163190262,-9.99882257143475,-3.57887076787009,-2.72188898351462,-7.84304828279548,-4.318257432221,0.0626511269549891,-0.0467831554027873,0.0599160747131952,-5.22119862509756,-30.1098407912584,-53.3149711559476,-2.49375411648064,-2.22529988607517,-13.9137840048017,-3.70380161986056
94,-1.40320406611763,0.118661929614043,-6.90166469730419,-1.93237913928101,-0.510201302913204,-9.53943771611567,-1.48232815832504,0.270767840291593,0.125137890587269,0.227500939835861,-1.85902449763749,-19.7178453307885,-38.3838973973221,-1.74829927654549,-1.67021680971224,-12.2552452530797,-2.73499404351563
97,-1.38775208696086,0.316840297442341,-14.6454186600355,-6.77811428470535,-7.55913687137374,-11.9623519016774,-11.1500992520407,-0.0361404715776068,-0.120352269716441,-0.00589214051634857,-7.00288512814627,-34.0292476401585,-57.7452142293249,-2.83643227107153,-2.45899941227543,-14.4668366702284,-4.1679046480816
98,-1.39169924429866,0.344763233248024,-17.7244877779152,NA,-10.8178920717222,-22.1444991494089,-26.6725369460286,-0.00610444875572491,-0.0994946713188098,-0.00157969920128131,-6.25973582801932,-32.0311454708174,-55.9638643787039,-2.74814170617964,-2.41373775318908,-14.4585561395576,-4.19870827109398
