Sample_ID,Date,Location,Species,Gasex_typeOrSequence,Duplicate_flag,Chem_type,Sample_disc_size,Disc_area_cm2,Num_discs,Leaf_area_cm2,FW_g,DW_g,H20_pc,LMA_gDW_m2,SLA_cm2_g,Canopy_position,,,,,
BNL11428,2016-03-14,PA-PNM,ALBIAD,Diurnal 4,1,CHN,10,1.539,9,13.854,0.100,0.0545,45.47,39.36,254.07,sunlit,,,,,
BNL11435,2016-03-14,PA-PNM,ANTITR,Diurnal 4,1,CHN,15,3.431,2,6.861,0.157,0.0861,45.19,125.41,79.74,sunlit,,,,,
BNL11429,2016-03-14,PA-PNM,ALBIAD,Diurnal 4,1,CHN,7,0.801,7,5.608,0.103,0.0554,46.23,98.75,101.27,sunlit,,,,,
BNL11304,2016-03-14,PA-PNM,ANACEX,Diurnal 4,1,CHN,15,3.431,2,6.861,0.187,0.0601,67.86,87.61,114.15,sunlit,,,,,
BNL11073,2016-03-14,PA-PNM,CASTEL,Diurnal 4,1,CHN,15,3.431,2,6.861,0.179,0.0753,57.96,109.69,91.17,sunlit,,,,,
BNL11353,2016-03-14,PA-PNM,FICUIN,Diurnal 4,1,CHN,15,3.431,2,6.861,0.223,0.0693,68.91,101.04,98.97,sunlit,,,,,
BNL11357,2016-03-14,PA-PNM,CORDAL,Diurnal 4,1,CHN,15,3.431,3,10.292,0.195,0.1028,47.30,99.85,100.15,sunlit,,,,,
BNL11374,2016-03-14,PA-PNM,FICUIN,Diurnal 4,1,CHN,15,3.431,2,6.861,0.226,0.0786,65.20,114.61,87.25,sunlit,,,,,
BNL11361,2016-03-14,PA-PNM,CORDAL,Diurnal 4,1,CHN,10,1.539,5,7.697,0.158,0.0812,48.60,105.51,94.78,sunlit,,,,,
BNL11066,2016-03-14,PA-PNM,CASTEL,Diurnal 4,1,CHN,15,3.431,2,6.861,0.181,0.0747,58.73,108.86,91.86,sunlit,,,,,
BNL11373,2016-03-14,PA-PNM,FICUIN,Diurnal 4,1,CHN,15,3.431,2,6.861,0.238,0.0756,68.24,110.18,90.76,sunlit,,,,,
